,istab,U,zi,stab,imet,Q_mg,zplume,dur,sig_x0,sig_y0,sig_z0,title,isrc,y,z,t,iloc,icurve,x,sig_x,sig_y,sig_z,zfunc,yfunc,qyz,cpeak,conc,dose,dinf
14,3,3,100000,D,0,1000000.0,0,0,1,1,0.1,sample,0,0,0,5000,0,1,148.6,16.64068215016018,37.576836872750484,17.54018148729081,0.04548895688931646,0.010616707354916636,482.9429431742918,11.57803251784825,0.0,160.98098105809726,160.98098105809726
15,3,3,100000,D,0,1000000.0,0,0,1,1,0.1,sample,0,0,0,5000,0,1,158.5,17.61888956685091,39.30161472547025,18.590471180038584,0.042919006835354524,0.010150785996660071,435.6616535748746,9.86463153090096,0.0,145.22055119162485,145.22055119162485
16,3,3,100000,D,0,1000000.0,0,0,1,1,0.1,sample,0,0,0,5000,0,1,168.4,18.592986385769354,40.99475796032141,19.63570948229264,0.040634363657075234,0.009731543744875056,395.4350874739888,8.484692683277377,0.0,131.81169582466293,131.81169582466293
17,3,3,100000,D,0,1000000.0,0,0,1,1,0.1,sample,0,0,0,5000,0,1,178.3,19.5632199572933,42.658645620690464,20.6762101799768,0.03858949744292911,0.009351967803870832,360.8877376538288,7.359390598420289,0.0,120.29591255127627,120.29591255127627
18,3,3,100000,D,0,1000000.0,0,0,1,1,0.1,sample,0,0,0,5000,0,1,188.20000000000002,20.529810364733436,44.2953572625922,21.71225152637227,0.03674812623589409,0.009006412975437108,330.9688009539573,6.431498676729936,0.0,110.3229336513191,110.3229336513191
19,3,3,100000,D,0,1000000.0,0,0,1,1,0.1,sample,0,0,0,5000,0,1,198.1,21.492954658253957,45.90672426862164,22.744081895947804,0.035080974632517886,0.008690279839333242,304.86348659313103,5.658734989509148,0.0,101.62116219771033,101.62116219771033
20,3,3,100000,D,0,1000000.0,0,0,1,1,0.1,sample,0,0,0,5000,0,1,208.0,22.452830258905525,47.49437026633781,23.771924304501802,0.033564155340415756,0.008399780398482043,281.9315341200307,5.009364424973032,0.0,93.97717804001022,93.97717804001022
21,3,3,100000,D,0,1000000.0,0,0,1,1,0.1,sample,0,0,0,5000,0,1,217.9,23.40959772615416,49.059743369374914,24.795980065504434,0.032177980384167526,0.008131764518166409,261.66375915422816,4.459228133543349,0.0,87.22125305140938,87.22125305140938
22,3,3,100000,D,0,1000000.0,0,0,1,1,0.1,sample,0,0,0,5000,0,1,227.8,24.363403030693757,50.6041421894371,25.816431779047026,0.03090607435733492,0.007883589428469876,243.6508010789895,3.989697419594017,0.0,81.21693369299649,81.21693369299649
23,3,3,100000,D,0,1000000.0,0,0,1,1,0.1,sample,0,0,0,5000,0,1,237.70000000000002,25.314379438097426,52.12873703920946,26.833445798630056,0.02973470370657874,0.007653020254478099,227.56028972735214,3.586239241401829,0.0,75.85342990911738,75.85342990911738
24,3,3,100000,D,0,1000000.0,0,0,1,1,0.1,sample,0,0,0,5000,0,1,247.60000000000002,26.262649082981696,53.63458737718574,27.847174284738657,0.028652262959609584,0.007438153249802546,213.11992284721714,3.2373942076826197,0.0,71.03997428240571,71.03997428240571
25,3,3,100000,D,0,1000000.0,0,0,1,1,0.1,sample,0,0,0,5000,0,1,257.5,27.208324294581757,55.1226562831305,28.857756928013877,0.027648876602368866,0.007237355876906884,200.10475956802756,2.9340376951162206,0.0,66.70158652267585,66.70158652267585
26,3,3,100000,D,0,1000000.0,0,0,1,1,0.1,sample,0,0,0,5000,0,1,267.40000000000003,28.151508720822633,56.59382256357997,29.865322405715215,0.026716087290686714,0.007049219549593836,188.32756481816423,2.668838424117384,0.0,62.775854939388076,62.775854939388076
27,3,3,100000,D,0,1000000.0,0,0,1,1,0.1,sample,0,0,0,5000,0,1,277.3,29.092298287676666,58.048890948205376,30.869989621006937,0.02584660928558495,0.00687252200489743,177.63139106716883,2.43585678664765,0.0,59.210463689056276,59.210463689056276
28,3,3,100000,D,0,1000000.0,0,0,1,1,0.1,sample,0,0,0,5000,0,1,287.2,30.03078202283351,59.48860073509908,31.871868763977474,0.025034131707768803,0.006706197077620139,167.8838208993968,2.2302434315958464,0.0,55.961273633132265,55.961273633132265
29,3,3,100000,D,0,1000000.0,0,0,1,1,0.1,sample,0,0,0,5000,0,1,297.1,30.9670427667895,60.913633165931074,32.87106222523919,0.02427316023334995,0.006549310222798542,158.97245645590587,2.04801067951997,0.0,52.99081881863529,52.99081881863529
30,3,3,100000,D,0,1000000.0,0,0,1,1,0.1,sample,0,0,0,5000,0,1,307.0,31.901157789905348,62.32461775342196,33.86766538677794,0.02355888873186265,0.006401038542743868,150.80135479686703,1.8858574590457258,0.0,50.267118265622344,50.267118265622344
