,index,x,D0,sig_x,sig_y,sig_z,D0U/Q,coef_y,expon_y,coef_z,expon_z,iwind,istab,wind,stab,how
71,6,1000.0,3.3667393370370355,93.45760609567321,559.9834038965919,23.6516508440485,2.403330577836697e-05,5.171644134519424,0.6781821743550691,0.0376870007445154,0.9325566276296772,1,6,0.8,G,fit
72,7,1778.2794100389228,1.4504861,159.57492626782852,827.4098747592581,40.45764655805083,9.508867844782565e-06,3.0606043786434123,0.748281078295276,1.1434993322952995,0.4765429848262905,1,6,0.8,G,fit
73,8,3162.2776601683795,0.7028973325718102,272.46746580813414,1272.8902774090525,53.227535986801335,4.698105833009388e-06,1.1164012429077668,0.8734201879847642,2.174230241412963,0.3968088086242271,1,6,0.8,G,fit
74,9,5623.413251903491,0.3471735529512732,465.22672239438015,2104.4858803003453,66.88651438104266,2.261338342958735e-06,6.001102582598733,0.678643990833457,3.739517090540347,0.3340061445335255,1,6,0.8,G,fit
75,10,10000.0,0.1704507973519684,794.3550346015521,3110.3339010268514,81.06625314460169,1.2624175191058157e-06,0.137240053147169,1.088831534101876,0.7857148934909094,0.5033937787781323,1,6,0.8,G,fit
76,11,31622.776601683792,0.0282138864427768,2315.872535920197,10894.888275704912,144.72281118027402,2.018786334949117e-07,0.0331907148338586,1.225823594454556,0.0032175544349316,1.0340024637430372,1,6,0.8,G,fit
77,12,100000.0,0.0028626235,6751.723560636403,44682.20309640996,475.9246747690888,1.4968467104637453e-08,,,,,1,6,0.8,G,fit
78,0,1.0,74458.92,0.1522,1.048949424398938,0.0998177126540123,3.0401006668482733,1.048949424398938,0.6623705570020586,0.0998177126540123,1.6765007241915393,2,0,2.3,A,fit
79,1,3.1622776601683795,11770.404035705084,0.443725770736577,2.2487430156371464,0.6877933552189839,0.2058032951504284,0.5674945147220068,1.195956318784322,0.1377370504609636,1.3968143942675857,2,0,2.3,A,fit
80,2,10.0,517.7698343852064,1.2936436242823213,8.91082648235639,3.4345130660211,0.0104008053222409,1.132176444258611,0.8960038720392052,0.0930043337621779,1.5673619868864788,2,0,2.3,A,fit
81,3,31.6227766016838,30.43182,3.771504692793245,24.99884379639789,20.871139764467543,0.0006100761370935,0.7587757954881375,1.0118709694670844,0.2926709482533035,1.235444367785422,2,0,2.3,A,fit
82,4,100.0,2.3843565,10.995491633681334,80.14112001327682,86.55025469928808,4.5890878272886014e-05,1.3066201902354937,0.8938530214451231,0.2597644093229488,1.2613443513595783,2,0,2.3,A,fit
83,5,316.227766016838,0.2055580749127306,32.05639290264675,224.2755437838967,369.777537458839,3.838200724025638e-06,0.8945539968084468,0.9596701431591828,0.1904731630389983,1.3152426928351304,2,0,2.3,A,fit
84,6,1000.0,0.014331367673966,93.45760609567321,677.0441500143473,1680.9773913590332,2.796863459673037e-07,0.4579913316499655,1.0565865772300929,0.7809294214311566,1.110983362404618,2,0,2.3,A,fit
85,7,1778.2794100389228,0.004339668,159.57492626782852,1243.837466139257,3186.454437372958,8.031169282042218e-08,0.4664571639856134,1.054139035923768,17.045113163644473,0.6989870227892416,2,0,2.3,A,fit
86,8,3162.2776601683795,0.0015116043,272.46746580813414,2281.90937816537,4764.907439049884,2.927502438132036e-08,2.1184124162870708,0.8663679657129113,195.46151592109945,0.396283773138797,2,0,2.3,A,fit
87,9,5623.413251903491,0.0007212593781684,465.22672239438015,3757.425553942056,5985.844243134058,1.4152538035059108e-08,7.495408251964713,0.7200253579001095,1213.6457390375583,0.1848089270548627,2,0,2.3,A,fit
88,10,10000.0,0.000454756784097,794.3550346015521,5687.176728471104,6657.752459295581,8.406704064057092e-09,10.139976091662474,0.6872149482787865,8190.418180134027,-0.0224946081270298,2,0,2.3,A,fit
89,11,31622.776601683792,0.0001978336648212,2315.872535920197,12545.968658019538,6487.544347778402,3.910799846021676e-09,1.9499388460659297,0.8463296015594126,5709.35940629394,0.0123317681701615,2,0,2.3,A,fit
90,12,100000.0,8.697489e-05,6751.723560636403,33240.6110789454,6580.308028800447,1.4552409413479707e-09,,,,,2,0,2.3,A,fit
91,0,1.0,121361.45,0.1522,0.9802527660666708,0.0582215146991484,5.577358372494482,0.9802527660666708,0.7615003910857587,0.0582215146991484,1.6629666143575947,2,1,2.3,B,fit
92,1,3.1622776601683795,20146.177520210767,0.443725770736577,2.3555280052645418,0.3949724529019243,0.3421330651371904,0.6219466425739905,1.1566702885487845,0.0871673678366332,1.3124257503085384,2,1,2.3,B,fit
93,2,10.0,974.145727454145,1.2936436242823213,8.921202887473527,1.7896977093967077,0.019936413317687,1.237776450254901,0.8577812006635999,0.0443272429072373,1.6061089626218563,2,1,2.3,B,fit
